Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
40-44 år,Agder,konsulent,ikke oppgitt,ikke oppgitt,16,fullstack,"""...senior...""","830 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig,enig
40-44 år,Vestfold og Telemark,in-house,ikke oppgitt,ikke oppgitt,23,fullstack,"""...senior...""","840 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
40-44 år,Oslo,frilans / selvstendig næringsdrivende,ikke oppgitt,ikke oppgitt,17,fullstack,"""...sjef...""","600 000,00 kr",Nei,Nei,Nei,annet,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager)",uenig,enig,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,uenig,enig
40-44 år,Møre og Romsdal,konsulent,privat,1,15,fullstack,"""...senior...""","600 000,00 kr",Nei,Nei,Nei,Fast lønnsjustering,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,enig,enig,enig,enig
40-44 år,Agder,in-house,privat,5,15,fullstack,"""...lead...""","760 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,uenig,uenig,enig,uenig,uenig
40-44 år,Oslo,in-house,privat,5,15,fullstack,"""...senior...""","590 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,uenig,enig
40-44 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,18,fullstack,"""...lead...""","720 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,enig,uenig,enig,uenig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,enig
40-44 år,Oslo,frilans / selvstendig næringsdrivende,privat,5,14,fullstack,"""...senior...""","1 150 000,00 kr",Nei,Nei,Nei,Jeg starta min egen arbeidsplass,Ja,mulighet å jobbe hjemmefra/remote,vet ikke/ikke aktuelt,uenig,enig,enig,enig,vet ikke/ikke aktuelt,enig,uenig,enig,enig,enig,enig
40-44 år,Vestfold og Telemark,in-house,privat,3,17,fullstack,"""...senior...""","712 433,00 kr",Ja,Ja,Nei,Jeg trua med å si opp,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,enig
40-44 år,Vestland,konsulent,privat,9,16,fullstack,"""...lead...""","765 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,enig
40-44 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,18,fullstack,"""...lead...""","950 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,enig
40-44 år,Vestland,konsulent,privat,5,14,fullstack,"""...senior...""","770 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), Arbeidsoppgaver",enig,enig,enig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
40-44 år,Rogaland,konsulent,ikke oppgitt,ikke oppgitt,21,fullstack,"""...sjef...""","1 000 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,enig,enig,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
40-44 år,Oslo,in-house,privat,5,16,fullstack,annet,"850 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig,uenig,uenig,vet ikke/ikke aktuelt
40-44 år,Vestland,konsulent,ikke oppgitt,ikke oppgitt,9,fullstack,nei,"530 000,00 kr",Nei,Nei,Nei,annet,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,enig
40-44 år,Trøndelag,in-house,ikke oppgitt,ikke oppgitt,11,fullstack,"""...senior...""","647 500,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,enig,enig
40-44 år,Oslo,in-house,ikke oppgitt,5,8,fullstack,"""...senior...""","870 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
40-44 år,Oslo,konsulent,privat,3,20,fullstack,"""...senior...""","1 250 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,enig,uenig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
40-44 år,Rogaland,in-house,privat,5,14,fullstack,nei,"900 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig
40-44 år,Oslo,konsulent,privat,5,19,fullstack,"""...senior...""","1 025 000,00 kr",Ja,Nei,Nei,Jeg trua med å si opp,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt
40-44 år,Oslo,in-house,privat,3,20,fullstack,"""...leder...""","1 080 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), God pensjonsordning",uenig,enig,uenig,uenig,enig,uenig,uenig,uenig,uenig,enig,uenig,enig
40-44 år,Trøndelag,in-house,privat,3,14,fullstack,annet,"507 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, firmabil, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
40-44 år,Agder,in-house,ikke oppgitt,ikke oppgitt,22,fullstack,nei,"825 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager)",enig,enig,uenig,uenig,enig,uenig,uenig,uenig,enig,uenig,uenig,enig
40-44 år,Trøndelag,konsulent,privat,5,22,fullstack,nei,"875 000,00 kr",Nei,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,uenig,enig,enig,enig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
40-44 år,Oslo,in-house,ikke oppgitt,5,15,ledelse/administrativt,"""...direktør...""","1 700 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager)",enig,enig,enig,uenig,enig,uenig,enig,uenig,uenig,uenig,uenig,enig
40-44 år,Rogaland,in-house,ikke oppgitt,5,14,ledelse/administrativt,"""...leder...""","836 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), Medeierskap; aksjeopsjoner ++",enig,uenig,enig,enig,enig,enig,uenig,uenig,uenig,enig,uenig,enig
40-44 år,Vestfold og Telemark,konsulent,privat,0,15,ledelse/administrativt,"""...senior...""","800 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmabil",enig,uenig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
40-44 år,Oslo,in-house,privat,5,14,ledelse/administrativt,"""...leder...""","810 000,00 kr",Ja,Nei,Ja,Jeg fikk ny stilling hos samme arbeidsgiver,Nei,"firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,enig
40-44 år,Oslo,in-house,privat,5,15,ledelse/administrativt,"""...leder...""","970 000,00 kr",Ja,Nei,Ja,annet,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
40-44 år,Agder,in-house,offentlig,3,15,ledelse/administrativt,"""...leder...""","823 000,00 kr",Ja,Ja,Nei,Fagforeningen min hjalp meg,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",uenig,vet ikke/ikke aktuelt,uenig,uenig,enig,uenig,uenig,uenig,enig,enig,enig,enig
40-44 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,18,ledelse/administrativt,"""...leder...""","822 000,00 kr",Ja,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"firmahytter/ferieboliger, faglige aktiviteter (konferanser, kurs, fagdager osv.), Faglig miljø",enig,uenig,enig,uenig,enig,enig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,enig
40-44 år,Oslo,in-house,ikke oppgitt,5,15,ledelse/administrativt,"""...direktør...""","926 400,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,enig,uenig,uenig,uenig,enig,enig,enig,enig
40-44 år,Vestfold og Telemark,in-house,privat,20,20,ledelse/administrativt,"""...leder...""","1 350 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",uenig,enig,enig,enig,uenig,uenig,uenig,enig,uenig,uenig,uenig,uenig
40-44 år,Trøndelag,in-house,privat,5,14,ledelse/administrativt,"""...direktør...""","1 335 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt
40-44 år,Trøndelag,in-house,privat,0,24,ledelse/administrativt,"""...lead...""","822 646,00 kr",Nei,Ja,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
40-44 år,Viken,in-house,privat,5,23,ledelse/administrativt,"""...leder...""","950 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,enig,enig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig
40-44 år,Vestland,in-house,privat,3,20,ledelse/administrativt,"""...leder...""","1 100 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,mer fritid (for eksempel flere feriedager),enig,enig,enig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
40-44 år,Oslo,in-house,ikke oppgitt,3,16,ledelse/administrativt,"""...leder...""","950 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
40-44 år,Møre og Romsdal,in-house,privat,5,20,ledelse/administrativt,"""...leder...""","980 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr, Faglige utfordringer ",uenig,enig,enig,enig,enig,uenig,uenig,uenig,enig,enig,uenig,enig
40-44 år,Oslo,in-house,privat,4,10,ledelse/administrativt,"""...senior...""","1 090 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Nei,"mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,enig
40-44 år,Viken,in-house,ikke oppgitt,ikke oppgitt,18,ledelse/administrativt,"""...lead...""","935 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,enig
40-44 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,21,ledelse/administrativt,nei,"1 000 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,enig,uenig,uenig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig
40-44 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,14,programvare,"""...senior...""","1 000 000,00 kr",Nei,Nei,Ja,Jeg ba sjefen om mer lønn,Ja,ingen spesielle,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,uenig,uenig,uenig,uenig,enig,uenig,uenig
40-44 år,Vestland,konsulent,privat,3,16,programvare,"""...senior...""","625 000,00 kr",Nei,Ja,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr, trening/aktivitet i arbeidstiden",enig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,enig
40-44 år,Møre og Romsdal,in-house,privat,3,16,programvare,"""...senior...""","768 000,00 kr",Nei,Ja,Ja,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,uenig,enig,enig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
40-44 år,Rogaland,in-house,privat,3,15,programvare,nei,"750 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",vet ikke/ikke aktuelt,enig,enig,uenig,enig,uenig,uenig,uenig,uenig,enig,uenig,enig
40-44 år,annet,in-house,ikke oppgitt,ikke oppgitt,16,programvare,"""...senior...""","722 000,00 kr",Ja,Ja,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,uenig,uenig,enig,uenig,enig,enig,enig
40-44 år,Trøndelag,in-house,ikke oppgitt,ikke oppgitt,8,programvare,nei,"670 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, faglige aktiviteter (konferanser, kurs, fagdager osv.), Å få jobbe med spennende ting, som gjør at jeg som utvikler kan utvikle både meg selv og måten jeg programmerer på.",enig,enig,enig,uenig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
40-44 år,annet,in-house,privat,5,20,programvare,"""...senior...""","894 300,00 kr",Ja,Ja,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
40-44 år,annet,in-house,privat,1,19,sikkerhet,"""...ansvarlig...""","710 000,00 kr",Nei,Ja,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,uenig,enig,enig,enig,enig,uenig,uenig,enig,uenig,uenig,uenig
40-44 år,Trøndelag,in-house,privat,5,15,sikkerhet,"""...principal...""","927 000,00 kr",Ja,Nei,Ja,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,enig,uenig,enig,uenig,uenig,enig,enig,uenig,enig
40-44 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,13,sikkerhet,"""...arkitekt...""","1 054 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), Modenhet i utviklingsorganisasjonen",enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
40-44 år,Trøndelag,konsulent,privat,0,13,UX / design,nei,"650 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
40-44 år,Oslo,in-house,privat,3,12,UX / design,"""...ansvarlig...""","700 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), God pensjonsordning",enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,uenig,enig,uenig,uenig,enig
40-44 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,17,UX / design,"""...leder...""","850 000,00 kr",Nei,Nei,Ja,annet,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,enig,enig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig,enig
40-44 år,Oslo,in-house,privat,4,20,UX / design,"""...senior...""","650 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,enig
40-44 år,Oslo,konsulent,privat,4,13,UX / design,"""...senior...""","870 000,00 kr",Nei,Ja,Ja,annet,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,uenig,uenig,uenig,enig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
45-50 år,Viken,in-house,privat,9,16,annet,"""...senior...""","700 000,00 kr",Nei,Ja,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmabil, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt
45-50 år,Oslo,in-house,offentlig,5,23,annet,"""...senior...""","1 007 600,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Nei,mulighet å jobbe hjemmefra/remote,enig,enig,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
